Year,Disposal Method,Observation status,Unit multiplier,Value
2014 to 2015,Landfill,Undefined,Units,45.63179267
2014 to 2015,Incineration with EfW,Undefined,Units,8.133427741
2014 to 2015,Incineration without EfW,Undefined,Units,0
2014 to 2015,Recycled-composted,Undefined,Units,43.84913526
2014 to 2015,Other,Undefined,Units,2.385786513
2015 to 2016,Landfill,Undefined,Units,40.00693803
2015 to 2016,Incineration with EfW,Undefined,Units,14.23633605
2015 to 2016,Incineration without EfW,Undefined,Units,0
2015 to 2016,Recycled-composted,Undefined,Units,42.97733438
2015 to 2016,Other,Undefined,Units,2.779530861
2016 to 2017,Landfill,Undefined,Units,39.35219306
2016 to 2017,Incineration with EfW,Undefined,Units,15.69676575
2016 to 2017,Incineration without EfW,Undefined,Units,0.001504111
2016 to 2017,Recycled-composted,Undefined,Units,42.78758261
2016 to 2017,Other,Undefined,Units,2.162091207
2017 to 2018,Landfill,Undefined,Units,11.74079489
2017 to 2018,Incineration with EfW,Undefined,Units,45.81867022
2017 to 2018,Incineration without EfW,Undefined,Units,0
2017 to 2018,Recycled-composted,Undefined,Units,42.60767046
2017 to 2018,Other,Undefined,Units,-0.166998795
2018 to 2019,Landfill,Undefined,Units,4.42610333
2018 to 2019,Incineration with EfW,Undefined,Units,53.0233517
2018 to 2019,Incineration without EfW,Undefined,Units,0.053328202
2018 to 2019,Recycled-composted,Undefined,Units,40.22403343
2018 to 2019,Other,Undefined,Units,2.27332078
2019 to 2020,Landfill,Undefined,Units,3.863571201
2019 to 2020,Incineration with EfW,Undefined,Units,52.14367442
2019 to 2020,Incineration without EfW,Undefined,Units,0.408905895
2019 to 2020,Recycled-composted,Undefined,Units,39.72402871
2019 to 2020,Other,Undefined,Units,3.85995375
