Year,Contraceptive method,Types of contraception,Value
2014/15,Long acting reversible contraceptives,,29
2014/15,Long acting reversible contraceptives,IU device,4
2014/15,Long acting reversible contraceptives,IU system,4
2014/15,Long acting reversible contraceptives,Implant,11
2014/15,Long acting reversible contraceptives,Injectable,11
2014/15,User dependent,,71
2014/15,User dependent,Oral (pill),53
2014/15,User dependent,Male condom,15
2014/15,User dependent,Female condom,
2014/15,User dependent,Patch,2
2014/15,User dependent,Other,1
2015/16,Long acting reversible contraceptives,,30
2015/16,Long acting reversible contraceptives,IU device,4
2015/16,Long acting reversible contraceptives,IU system,4
2015/16,Long acting reversible contraceptives,Implant,11
2015/16,Long acting reversible contraceptives,Injectable,11
2015/16,User dependent,,70
2015/16,User dependent,Oral (pill),54
2015/16,User dependent,Male condom,13
2015/16,User dependent,Female condom,
2015/16,User dependent,Patch,2
2015/16,User dependent,Other,1
2016/17,Long acting reversible contraceptives,,33
2016/17,Long acting reversible contraceptives,IU device,5
2016/17,Long acting reversible contraceptives,IU system,5
2016/17,Long acting reversible contraceptives,Implant,11
2016/17,Long acting reversible contraceptives,Injectable,12
2016/17,User dependent,,67
2016/17,User dependent,Oral (pill),53
2016/17,User dependent,Male condom,11
2016/17,User dependent,Female condom,
2016/17,User dependent,Patch,2
2016/17,User dependent,Other,
2017/18,Long acting reversible contraceptives,,31
2017/18,Long acting reversible contraceptives,IU device,5
2017/18,Long acting reversible contraceptives,IU system,5
2017/18,Long acting reversible contraceptives,Implant,10
2017/18,Long acting reversible contraceptives,Injectable,11
2017/18,User dependent,,69
2017/18,User dependent,Oral (pill),52
2017/18,User dependent,Male condom,15
2017/18,User dependent,Female condom,
2017/18,User dependent,Patch,2
2017/18,User dependent,Other,1
2018/19,Long acting reversible contraceptives,,32
2018/19,Long acting reversible contraceptives,IU device,6
2018/19,Long acting reversible contraceptives,IU system,5
2018/19,Long acting reversible contraceptives,Implant,10
2018/19,Long acting reversible contraceptives,Injectable,10
2018/19,User dependent,,68
2018/19,User dependent,Oral (pill),46
2018/19,User dependent,Male condom,19
2018/19,User dependent,Female condom,
2018/19,User dependent,Patch,2
2018/19,User dependent,Other,1
