Year,Sex,Age,Value
2018,,,85.8
2019,,,87.2
2020,,,87.9
2021,,,89.9
2018,Female,16,91.7
2019,Female,16,92.3
2020,Female,16,92.6
2021,Female,16,95.1
2018,Male,16,86.9
2019,Male,16,89.6
2020,Male,16,89.5
2021,Male,16,93.3
2018,,16,89.4
2019,,16,91.2
2020,,16,91.1
2021,,16,94.1
2018,Female,17,84.2
2019,Female,17,85.8
2020,Female,17,86.2
2021,Female,17,88.3
2018,Male,17,80.1
2019,Male,17,80.5
2020,Male,17,82.7
2021,Male,17,83.6
2018,,17,82.3
2019,,17,83.3
2020,,17,84.7
2021,,17,85.7
