Year,Cause,Sex,Value
2013,A04 Other bacterial intestinal infections,,4.21
2013,A09 Other gastroenteritis and colitis of infectious and unspecified origin,,1.82
2014,A04 Other bacterial intestinal infections,,0.85
2014,A09 Other gastroenteritis and colitis of infectious and unspecified origin,,0.74
2015,A04 Other bacterial intestinal infections,,1.89
2015,A09 Other gastroenteritis and colitis of infectious and unspecified origin,,1.36
2016,A04 Other bacterial intestinal infections,,1.4
2016,A09 Other gastroenteritis and colitis of infectious and unspecified origin,,1.38
2017,A04 Other bacterial intestinal infections,,2.01
2017,A09 Other gastroenteritis and colitis of infectious and unspecified origin,,3.27
2018,A04 Other bacterial intestinal infections,,1.61
2018,A09 Other gastroenteritis and colitis of infectious and unspecified origin,,1.61
2019,A04 Other bacterial intestinal infections,,1.91
2019,A09 Other gastroenteritis and colitis of infectious and unspecified origin,,1.04
2020,A09 Other gastroenteritis and colitis of infectious and unspecified origin,,1.6
2013,A04 Other bacterial intestinal infections,Male,
2013,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Male,1.6
2015,A04 Other bacterial intestinal infections,Male,2.24
2015,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Male,1.46
2016,A04 Other bacterial intestinal infections,Male,2.36
2017,A04 Other bacterial intestinal infections,Male,2.19
2017,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Male,2.51
2018,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Male,2.26
2019,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Male,1.98
2013,A04 Other bacterial intestinal infections,Female,5.89
2013,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Female,1.89
2014,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Female,
2015,A04 Other bacterial intestinal infections,Female,1.41
2015,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Female,
2016,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Female,1.3
2017,A04 Other bacterial intestinal infections,Female,2.14
2017,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Female,3.97
2018,A04 Other bacterial intestinal infections,Female,1.66
2018,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Female,1.33
2019,A04 Other bacterial intestinal infections,Female,2.89
2020,A09 Other gastroenteritis and colitis of infectious and unspecified origin,Female,1.94
2013,,,6.68
2014,,,1.86
2015,,,3.75
2016,,,3.0
2017,,,5.61
2018,,,3.68
2019,,,3.26
2020,,,2.09
2013,,Male,2.85
2014,,Male,2.94
2015,,Male,4.29
2016,,Male,3.98
2017,,Male,4.7
2018,,Male,3.5
2019,,Male,2.95
2020,,Male,
2013,,Female,8.73
2014,,Female,
2015,,Female,2.85
2016,,Female,2.11
2017,,Female,6.6
2018,,Female,3.83
2019,,Female,3.87
2020,,Female,2.75
