Year,Renewable Source,Wind,Bioenergy,Value
2008,Wind,,,50.34722048
2008,Wind,Onshore Wind,,24.4797513
2008,Wind,Offshore Wind,,25.86746917
2008,Wave and tidal,,,0.0
2008,Solar PV,,,0.0
2008,Hydro,,,0.661344962
2008,Landfill gas,,,19.26451025
2008,Sewage gas,,,2.510869008
2008,Other bioenergy,,,4.164662537
2008,,,,76.94860723
2009,Wind,,,52.44049804
2009,Wind,Onshore Wind,,26.67525603
2009,Wind,Offshore Wind,,25.765242
2009,Wave and tidal,,,0.0
2009,Solar PV,,,0.0
2009,Hydro,,,0.654866568
2009,Landfill gas,,,19.57686029
2009,Sewage gas,,,2.500946157
2009,Other bioenergy,,,4.194008837
2009,,,,79.36717989
2010,Wind,,,52.5095878
2010,Wind,Onshore Wind,,26.8682736
2010,Wind,Offshore Wind,,25.6413142
2010,Wave and tidal,,,0.0
2010,Solar PV,,,0.562959327
2010,Hydro,,,0.729666331
2010,Landfill gas,,,20.44111323
2010,Sewage gas,,,3.46186232
2010,Other bioenergy,,,4.365576194
2010,,,,82.0707652
2011,Wind,,,98.33323882
2011,Wind,Onshore Wind,,29.45530709
2011,Wind,Offshore Wind,,68.87793172
2011,Wave and tidal,,,0.0
2011,Solar PV,,,8.404604277
2011,Hydro,,,0.83152387
2011,Landfill gas,,,20.41805503
2011,Sewage gas,,,3.444180034
2011,Other bioenergy,,,6.042054371
2011,,,,137.4736564
2012,Wind,,,131.9424838
2012,Wind,Onshore Wind,,33.53004079
2012,Wind,Offshore Wind,,98.41244299
2012,Wave and tidal,,,0.0
2012,Solar PV,,,16.50031548
2012,Hydro,,,0.878843442
2012,Landfill gas,,,18.91178874
2012,Sewage gas,,,3.500332417
2012,Other bioenergy,,,6.543114728
2012,,,,178.2768786
2013,Wind,,,136.8468797
2013,Wind,Onshore Wind,,38.69791405
2013,Wind,Offshore Wind,,98.14896569
2013,Wave and tidal,,,0.0
2013,Solar PV,,,22.54744782
2013,Hydro,,,0.878602174
2013,Landfill gas,,,18.98166084
2013,Sewage gas,,,3.598513857
2013,Other bioenergy,,,13.60423217
2013,,,,196.4573366
2014,Wind,,,195.0368144
2014,Wind,Onshore Wind,,42.7872642
2014,Wind,Offshore Wind,,152.2495502
2014,Wave and tidal,,,0.0
2014,Solar PV,,,30.080428
2014,Hydro,,,0.959009542
2014,Landfill gas,,,18.90305741
2014,Sewage gas,,,3.802733931
2014,Other bioenergy,,,19.53301446
2014,,,,268.3150577
2015,Wind,,,203.4650524
2015,Wind,Onshore Wind,,52.10992229
2015,Wind,Offshore Wind,,151.3551301
2015,Wave and tidal,,,0.0
2015,Solar PV,,,51.84430435
2015,Hydro,,,1.236964435
2015,Landfill gas,,,18.79200767
2015,Sewage gas,,,3.768547623
2015,Other bioenergy,,,28.63099703
2015,Other bioenergy,,AD,3.478380606
2015,Other bioenergy,,Biomass and waste,25.15261642
2015,,,,307.7378735
2016,Wind,,,239.1394372
2016,Wind,Onshore Wind,,61.12075745
2016,Wind,Offshore Wind,,178.0186798
2016,Wave and tidal,,,0.0
2016,Solar PV,,,66.73064196
2016,Hydro,,,1.347199964
2016,Landfill gas,,,18.6651063
2016,Sewage gas,,,4.343046702
2016,Other bioenergy,,,30.11563877
2016,Other bioenergy,,AD,4.938149583
2016,Other bioenergy,,Biomass and waste,25.17748919
2016,,,,360.3410709
2017,Wind,,,296.9702077
2017,Wind,Onshore Wind,,66.10009966
2017,Wind,Offshore Wind,,230.8701081
2017,Wave and tidal,,,0.0
2017,Solar PV,,,73.91891332
2017,Hydro,,,1.367492778
2017,Landfill gas,,,18.57596485
2017,Sewage gas,,,4.322305031
2017,Other bioenergy,,,33.47510624
2017,Other bioenergy,,AD,4.981107309
2017,Other bioenergy,,Biomass and waste,28.49399893
2017,,,,428.62999
2018,Wind,,,343.0279301
2018,Wind,Onshore Wind,,68.10000477
2018,Wind,Offshore Wind,,274.9279254
2018,Wave and tidal,,,0.0
2018,Solar PV,,,76.61341538
2018,Hydro,,,1.382308207
2018,Landfill gas,,,18.49071316
2018,Sewage gas,,,4.337712094
2018,Other bioenergy,,,36.33213537
2018,Other bioenergy,,AD,5.007615783
2018,Other bioenergy,,Biomass and waste,31.32451959
2018,,,,480.1842143
2019,Wind,,,340.552625
2019,Wind,Onshore Wind,,67.43636433
2019,Wind,Offshore Wind,,273.1162606
2019,Wave and tidal,,,0.0
2019,Solar PV,,,78.6814737
2019,Hydro,,,1.401668066
2019,Landfill gas,,,18.36703447
2019,Sewage gas,,,4.308698474
2019,Other bioenergy,,,34.60400867
2019,Other bioenergy,,AD,4.974121383
2019,Other bioenergy,,Biomass and waste,29.62988728
2019,,,,477.9155083
