Year,Disposal Method,Observation status,Unit multiplier,Value
2014/15,Landfill,Undefined,Units,45.63179267
2014/15,Incineration with EfW,Undefined,Units,8.133427741
2014/15,Incineration without EfW,Undefined,Units,0.0
2014/15,Recycled-composted,Undefined,Units,43.84913526
2014/15,Other,Undefined,Units,2.385786513
2015/16,Landfill,Undefined,Units,40.00693803
2015/16,Incineration with EfW,Undefined,Units,14.23633605
2015/16,Incineration without EfW,Undefined,Units,0.0
2015/16,Recycled-composted,Undefined,Units,42.97733438
2015/16,Other,Undefined,Units,2.779530861
2016/17,Landfill,Undefined,Units,39.35219306
2016/17,Incineration with EfW,Undefined,Units,15.69676575
2016/17,Incineration without EfW,Undefined,Units,0.001504111
2016/17,Recycled-composted,Undefined,Units,42.78758261
2016/17,Other,Undefined,Units,2.162091207
2017/18,Landfill,Undefined,Units,11.74079489
2017/18,Incineration with EfW,Undefined,Units,45.81867022
2017/18,Incineration without EfW,Undefined,Units,0.0
2017/18,Recycled-composted,Undefined,Units,42.60767046
2017/18,Other,Undefined,Units,-0.166998795
2018/19,Landfill,Undefined,Units,4.42610333
2018/19,Incineration with EfW,Undefined,Units,53.0233517
2018/19,Incineration without EfW,Undefined,Units,0.053328202
2018/19,Recycled-composted,Undefined,Units,40.22403343
2018/19,Other,Undefined,Units,2.27332078
2019/20,Landfill,Undefined,Units,3.863571201
2019/20,Incineration with EfW,Undefined,Units,52.14367442
2019/20,Incineration without EfW,Undefined,Units,0.408905895
2019/20,Recycled-composted,Undefined,Units,39.72402871
2019/20,Other,Undefined,Units,3.85995375
