Year,Type of Crime,Value
2007,,7011
2007,Homicide,15
2007,Sexual offences,389
2007,Stalking and harassment,360
2007,Violence with injury,4547
2007,Violence without injury,1700
2008,,6115
2008,Homicide,18
2008,Sexual offences,337
2008,Stalking and harassment,369
2008,Violence with injury,3840
2008,Violence without injury,1551
2009,,5527
2009,Homicide,11
2009,Sexual offences,366
2009,Stalking and harassment,304
2009,Violence with injury,3621
2009,Violence without injury,1225
2010,,4918
2010,Homicide,11
2010,Sexual offences,435
2010,Stalking and harassment,246
2010,Violence with injury,2942
2010,Violence without injury,1284
2011,,5151
2011,Homicide,11
2011,Sexual offences,576
2011,Stalking and harassment,267
2011,Violence with injury,2880
2011,Violence without injury,1417
2012,,5310
2012,Homicide,9
2012,Sexual offences,498
2012,Stalking and harassment,304
2012,Violence with injury,2684
2012,Violence without injury,1815
2013,,6076
2013,Homicide,7
2013,Sexual offences,577
2013,Stalking and harassment,278
2013,Violence with injury,3006
2013,Violence without injury,2208
2014,,8293
2014,Homicide,14
2014,Sexual offences,832
2014,Stalking and harassment,440
2014,Violence with injury,3719
2014,Violence without injury,3288
2015,,10928
2015,Homicide,9
2015,Sexual offences,938
2015,Stalking and harassment,1328
2015,Violence with injury,5124
2015,Violence without injury,3529
2016,,12986
2016,Homicide,8
2016,Sexual offences,1029
2016,Stalking and harassment,2508
2016,Violence with injury,5670
2016,Violence without injury,3771
2017,,15148
2017,Homicide,12
2017,Sexual offences,1373
2017,Stalking and harassment,3009
2017,Violence with injury,5960
2017,Violence without injury,4794
2018,,19074
2018,Homicide,8
2018,Sexual offences,1284
2018,Stalking and harassment,4352
2018,Violence with injury,6226
2018,Violence without injury,7204
