Year,Age,Value
2015,2 year olds,54
2016,2 year olds,63
2017,2 year olds,63
2018,2 year olds,77
2019,2 year olds,76
2011,3 year olds,91
2012,3 year olds,96
2013,3 year olds,94
2014,3 year olds,98
2015,3 year olds,92
2016,3 year olds,92
2017,3 year olds,91
2018,3 year olds,92
2019,3 year olds,94
2011,4 year olds,102
2012,4 year olds,97
2013,4 year olds,99
2014,4 year olds,98
2015,4 year olds,101
2016,4 year olds,96
2017,4 year olds,96
2018,4 year olds,94
2019,4 year olds,96
2011,3 and 4 year olds,97
2012,3 and 4 year olds,97
2013,3 and 4 year olds,97
2014,3 and 4 year olds,98
2015,3 and 4 year olds,96
2016,3 and 4 year olds,94
2017,3 and 4 year olds,93
2018,3 and 4 year olds,93
2019,3 and 4 year olds,95
