Year,Renewable energy source,Value
2019,,32142.0
2018,,31770.0
2017,,17536.0
2016,,26115.0
2015,,21813.0
2014,,19299.0
2019,Photovoltaics,15520.0
2018,Photovoltaics,15094.0
2017,Photovoltaics,13493.0
2016,Photovoltaics,13104.0
2015,Photovoltaics,7462.0
2014,Photovoltaics,5374.0
2019,Onshore Wind,1222.0
2018,Onshore Wind,1215.0
2017,Onshore Wind,1289.0
2016,Onshore Wind,1166.0
2015,Onshore Wind,447.0
2014,Onshore Wind,178.0
2019,Anaerobic Digestion,2754.0
2018,Anaerobic Digestion,2754.0
2017,Anaerobic Digestion,2754.0
2016,Anaerobic Digestion,2761.0
2015,Anaerobic Digestion,2754.0
2014,Anaerobic Digestion,
2019,Sewage Gas,10436.0
2018,Sewage Gas,10942.0
2017,Sewage Gas,
2016,Sewage Gas,9084.0
2015,Sewage Gas,11151.0
2014,Sewage Gas,13748.0
2019,Municipal Solid Waste,
2018,Municipal Solid Waste,
2017,Municipal Solid Waste,
2016,Municipal Solid Waste,
2015,Municipal Solid Waste,
2014,Municipal Solid Waste,
