Year,Sex,Age,Value
2018,,,85.8
2019,,,87.2
2020,,,87.9
2021,,,89.9
2018,Female,16.0,91.7
2019,Female,16.0,92.3
2020,Female,16.0,92.6
2021,Female,16.0,95.1
2018,Male,16.0,86.9
2019,Male,16.0,89.6
2020,Male,16.0,89.5
2021,Male,16.0,93.3
2018,,16.0,89.4
2019,,16.0,91.2
2020,,16.0,91.1
2021,,16.0,94.1
2018,Female,17.0,84.2
2019,Female,17.0,85.8
2020,Female,17.0,86.2
2021,Female,17.0,88.3
2018,Male,17.0,80.1
2019,Male,17.0,80.5
2020,Male,17.0,82.7
2021,Male,17.0,83.6
2018,,17.0,82.3
2019,,17.0,83.3
2020,,17.0,84.7
2021,,17.0,85.7
