Year,BMI,Observation status,Unit multiplier,Unit measure,Value
2007/08,Overweight (including obesity),Undefined,Units,Percentage (%),24.4914
2008/09,Overweight (including obesity),Undefined,Units,Percentage (%),22.5012
2009/10,Overweight (including obesity),Undefined,Units,Percentage (%),23.599
2010/11,Overweight (including obesity),Undefined,Units,Percentage (%),26.036
2011/12,Overweight (including obesity),Undefined,Units,Percentage (%),26.9531
2012/13,Overweight (including obesity),Undefined,Units,Percentage (%),28.3358
2013/14,Overweight (including obesity),Undefined,Units,Percentage (%),24.6686
2014/15,Overweight (including obesity),Undefined,Units,Percentage (%),26.2214
2015/16,Overweight (including obesity),Undefined,Units,Percentage (%),25.5612
2016/17,Overweight (including obesity),Undefined,Units,Percentage (%),26.756
2017/18,Overweight (including obesity),Undefined,Units,Percentage (%),25.8697
2018/19,Overweight (including obesity),Undefined,Units,Percentage (%),27.7704
2019/20,Overweight (including obesity),Undefined,Units,Percentage (%),26.8
2006/07,Underweight,Undefined,Units,Percentage (%),1.4164
2007/08,Underweight,Undefined,Units,Percentage (%),1.7866
2008/09,Underweight,Undefined,Units,Percentage (%),2.1282
2009/10,Underweight,Undefined,Units,Percentage (%),1.7568
2010/11,Underweight,Undefined,Units,Percentage (%),0.8247
2011/12,Underweight,Undefined,Units,Percentage (%),0.5847
2012/13,Underweight,Undefined,Units,Percentage (%),1.0261
2013/14,Underweight,Undefined,Units,Percentage (%),0.4741
2014/15,Underweight,Undefined,Units,Percentage (%),0.5865
2015/16,Underweight,Undefined,Units,Percentage (%),0.6699
2016/17,Underweight,Undefined,Units,Percentage (%),0.6472
2017/18,Underweight,Undefined,Units,Percentage (%),0.6103
2018/19,Underweight,Undefined,Units,Percentage (%),0.9
