Year,Contraceptive method,Types of contraception,Unit of measurement,Value
2014/15,Long acting reversible contraceptives,,Percentage,29.0
2014/15,Long acting reversible contraceptives,IU device,Percentage,4.0
2014/15,Long acting reversible contraceptives,IU system,Percentage,4.0
2014/15,Long acting reversible contraceptives,Implant,Percentage,11.0
2014/15,Long acting reversible contraceptives,Injectable,Percentage,11.0
2014/15,User dependent,,Percentage,71.0
2014/15,User dependent,Oral (pill),Percentage,53.0
2014/15,User dependent,Male condom,Percentage,15.0
2014/15,User dependent,Female condom,Percentage,
2014/15,User dependent,Patch,Percentage,2.0
2014/15,User dependent,Other,Percentage,1.0
2015/16,Long acting reversible contraceptives,,Percentage,30.0
2015/16,Long acting reversible contraceptives,IU device,Percentage,4.0
2015/16,Long acting reversible contraceptives,IU system,Percentage,4.0
2015/16,Long acting reversible contraceptives,Implant,Percentage,11.0
2015/16,Long acting reversible contraceptives,Injectable,Percentage,11.0
2015/16,User dependent,,Percentage,70.0
2015/16,User dependent,Oral (pill),Percentage,54.0
2015/16,User dependent,Male condom,Percentage,13.0
2015/16,User dependent,Female condom,Percentage,
2015/16,User dependent,Patch,Percentage,2.0
2015/16,User dependent,Other,Percentage,1.0
2016/17,Long acting reversible contraceptives,,Percentage,33.0
2016/17,Long acting reversible contraceptives,IU device,Percentage,5.0
2016/17,Long acting reversible contraceptives,IU system,Percentage,5.0
2016/17,Long acting reversible contraceptives,Implant,Percentage,11.0
2016/17,Long acting reversible contraceptives,Injectable,Percentage,12.0
2016/17,User dependent,,Percentage,67.0
2016/17,User dependent,Oral (pill),Percentage,53.0
2016/17,User dependent,Male condom,Percentage,11.0
2016/17,User dependent,Female condom,Percentage,
2016/17,User dependent,Patch,Percentage,2.0
2016/17,User dependent,Other,Percentage,
2017/18,Long acting reversible contraceptives,,Percentage,31.0
2017/18,Long acting reversible contraceptives,IU device,Percentage,5.0
2017/18,Long acting reversible contraceptives,IU system,Percentage,5.0
2017/18,Long acting reversible contraceptives,Implant,Percentage,10.0
2017/18,Long acting reversible contraceptives,Injectable,Percentage,11.0
2017/18,User dependent,,Percentage,69.0
2017/18,User dependent,Oral (pill),Percentage,52.0
2017/18,User dependent,Male condom,Percentage,15.0
2017/18,User dependent,Female condom,Percentage,
2017/18,User dependent,Patch,Percentage,2.0
2017/18,User dependent,Other,Percentage,1.0
2018/19,Long acting reversible contraceptives,,Percentage,32.0
2018/19,Long acting reversible contraceptives,IU device,Percentage,6.0
2018/19,Long acting reversible contraceptives,IU system,Percentage,5.0
2018/19,Long acting reversible contraceptives,Implant,Percentage,10.0
2018/19,Long acting reversible contraceptives,Injectable,Percentage,10.0
2018/19,User dependent,,Percentage,68.0
2018/19,User dependent,Oral (pill),Percentage,46.0
2018/19,User dependent,Male condom,Percentage,19.0
2018/19,User dependent,Female condom,Percentage,
2018/19,User dependent,Patch,Percentage,2.0
2018/19,User dependent,Other,Percentage,1.0
