Year,Gender,Value
2018/2019,Boy,52.3
2018/2019,Girl,62.2
2018/2019,,57.4
2017/2018,Boy,52.6
2017/2018,Girl,61.9
2017/2018,,57.4
2016/2017,Boy,54.1
2016/2017,Girl,62.2
2016/2017,,58.1
2015/2016,Boy,52.3
2015/2016,Girl,60.9
2015/2016,,56.6
2014/2015,Boy,47.6
2014/2015,Girl,55.0
2014/2015,,51.4
2013/2014,Boy,57.4
2013/2014,Girl,57.6
2013/2014,,52.4
2012/2013,Boy,53.1
2012/2013,Girl,60.6
2012/2013,,56.9
2011/2012,Boy,52.6
2011/2012,Girl,61.8
2011/2012,,57.3
2010/2011,Boy,50.9
2010/2011,Girl,59.8
2010/2011,,55.4
