Year,Units,Value
2020,Home (%),16.3
2020,Work (%),14.5
2019,Home (%),15.3
2019,Work (%),15.9
2018,Home (%),13.9
2018,Work (%),11.0
2017,Home (%),16.4
2017,Work (%),12.6
2016,Home (%),19.2
2016,Work (%),19.6
2015,Home (%),13.4
2015,Work (%),11.5
2014,Home (%),18.2
2014,Work (%),16.8
2013,Home (%),18.1
2013,Work (%),22.0
2012,Home (%),10.1
2012,Work (%),11.3
2011,Home (%),9.9
2011,Work (%),18.2
2010,Home (%),8.4
2010,Work (%),19.2
2009,Home (%),11.7
2009,Work (%),20.5
2008,Home (%),14.9
2008,Work (%),21.0
2007,Home (%),14.8
2007,Work (%),21.2
2006,Home (%),15.3
2006,Work (%),22.3
2005,Home (%),9.8
2005,Work (%),16.2
2004,Home (%),13.4
2004,Work (%),26.0
2003,Home (%),13.2
2003,Work (%),24.0
2002,Home (%),20.1
2002,Work (%),27.0
2001,Work (%),24.5
2000,Work (%),27.2
1999,Work (%),26.4
1998,Work (%),22.9
1997,Work (%),27.1
