Year,Income category,Sub-category,Value
1994/95 - 1996/97,Relative low income,Before housing costs,21
1996/97 - 1998/99,Relative low income,Before housing costs,23
1998/99 - 2000/01,Relative low income,Before housing costs,22
2000/01 - 2002/03,Relative low income,Before housing costs,20
2002/03 - 2004/05,Relative low income,Before housing costs,19
2004/05 - 2006/07,Relative low income,Before housing costs,20
2006/07 - 2008/09,Relative low income,Before housing costs,20
2008/09 - 2010/11,Relative low income,Before housing costs,18
2010/11 - 2012/13,Relative low income,Before housing costs,17
2012/13 - 2014/15,Relative low income,Before housing costs,18
2014/15 - 2016/17,Relative low income,Before housing costs,19
2016/17 - 2018/19,Relative low income,Before housing costs,19
1994/95 - 1996/97,Relative low income,After housing costs,26
1996/97 - 1998/99,Relative low income,After housing costs,27
1998/99 - 2000/01,Relative low income,After housing costs,26
2000/01 - 2002/03,Relative low income,After housing costs,24
2002/03 - 2004/05,Relative low income,After housing costs,22
2004/05 - 2006/07,Relative low income,After housing costs,23
2006/07 - 2008/09,Relative low income,After housing costs,24
2008/09 - 2010/11,Relative low income,After housing costs,23
2010/11 - 2012/13,Relative low income,After housing costs,22
2012/13 - 2014/15,Relative low income,After housing costs,22
2014/15 - 2016/17,Relative low income,After housing costs,23
2016/17 - 2018/19,Relative low income,After housing costs,22
1994/95 - 1996/97,Absolute low income,Before housing costs,39
1996/97 - 1998/99,Absolute low income,Before housing costs,36
1998/99 - 2000/01,Absolute low income,Before housing costs,32
2000/01 - 2002/03,Absolute low income,Before housing costs,26
2002/03 - 2004/05,Absolute low income,Before housing costs,21
2004/05 - 2006/07,Absolute low income,Before housing costs,21
2006/07 - 2008/09,Absolute low income,Before housing costs,20
2008/09 - 2010/11,Absolute low income,Before housing costs,17
2010/11 - 2012/13,Absolute low income,Before housing costs,18
2012/13 - 2014/15,Absolute low income,Before housing costs,18
2014/15 - 2016/17,Absolute low income,Before housing costs,17
2016/17 - 2018/19,Absolute low income,Before housing costs,17
1994/95 - 1996/97,Absolute low income,After housing costs,42
1996/97 - 1998/99,Absolute low income,After housing costs,38
1998/99 - 2000/01,Absolute low income,After housing costs,34
2000/01 - 2002/03,Absolute low income,After housing costs,28
2002/03 - 2004/05,Absolute low income,After housing costs,23
2004/05 - 2006/07,Absolute low income,After housing costs,23
2006/07 - 2008/09,Absolute low income,After housing costs,23
2008/09 - 2010/11,Absolute low income,After housing costs,22
2010/11 - 2012/13,Absolute low income,After housing costs,23
2012/13 - 2014/15,Absolute low income,After housing costs,22
2014/15 - 2016/17,Absolute low income,After housing costs,20
2016/17 - 2018/19,Absolute low income,After housing costs,17
