Year,Observation status,Unit multiplier,Unit measure,Value
2002,Undefined,Units,"Rate per 1,000 live births",5.8902
2003,Undefined,Units,"Rate per 1,000 live births",5.6407
2004,Undefined,Units,"Rate per 1,000 live births",6.4562
2005,Undefined,Units,"Rate per 1,000 live births",6.6133
2006,Undefined,Units,"Rate per 1,000 live births",6.6035
2007,Undefined,Units,"Rate per 1,000 live births",5.4681
2008,Undefined,Units,"Rate per 1,000 live births",5.2397
2009,Undefined,Units,"Rate per 1,000 live births",5.1844
2010,Undefined,Units,"Rate per 1,000 live births",4.9229
2011,Undefined,Units,"Rate per 1,000 live births",4.7275
2012,Undefined,Units,"Rate per 1,000 live births",4.237
2013,Undefined,Units,"Rate per 1,000 live births",4.7021
2014,Undefined,Units,"Rate per 1,000 live births",4.3728
2015,Undefined,Units,"Rate per 1,000 live births",5.2353
2016,Undefined,Units,"Rate per 1,000 live births",5.7242
2017,Undefined,Units,"Rate per 1,000 live births",6.1239
2018,Undefined,Units,"Rate per 1,000 live births",5.4201
