Year,Series,Value
1998,Accommodation and food service activities,275
1999,Accommodation and food service activities,294
2000,Accommodation and food service activities,297
2001,Accommodation and food service activities,321
2002,Accommodation and food service activities,334
2003,Accommodation and food service activities,368
2004,Accommodation and food service activities,360
2005,Accommodation and food service activities,360
2006,Accommodation and food service activities,398
2007,Accommodation and food service activities,380
2008,Accommodation and food service activities,394
2009,Accommodation and food service activities,360
2010,Accommodation and food service activities,379
2011,Accommodation and food service activities,388
2012,Accommodation and food service activities,413
2013,Accommodation and food service activities,394
2014,Accommodation and food service activities,397
2015,Accommodation and food service activities,440
2016,Accommodation and food service activities,443
2017,Accommodation and food service activities,439
2018,Accommodation and food service activities,466
2019,Accommodation and food service activities,491
1998,Employment activities; tourism and security services,46
1999,Employment activities; tourism and security services,49
2000,Employment activities; tourism and security services,55
2001,Employment activities; tourism and security services,64
2002,Employment activities; tourism and security services,66
2003,Employment activities; tourism and security services,61
2004,Employment activities; tourism and security services,70
2005,Employment activities; tourism and security services,74
2006,Employment activities; tourism and security services,88
2007,Employment activities; tourism and security services,122
2008,Employment activities; tourism and security services,130
2009,Employment activities; tourism and security services,95
2010,Employment activities; tourism and security services,115
2011,Employment activities; tourism and security services,120
2012,Employment activities; tourism and security services,139
2013,Employment activities; tourism and security services,173
2014,Employment activities; tourism and security services,207
2015,Employment activities; tourism and security services,263
2016,Employment activities; tourism and security services,249
2017,Employment activities; tourism and security services,253
2018,Employment activities; tourism and security services,264
2019,Employment activities; tourism and security services,305
1998,"Arts, entertainment and recreation",380
1999,"Arts, entertainment and recreation",344
2000,"Arts, entertainment and recreation",356
2001,"Arts, entertainment and recreation",344
2002,"Arts, entertainment and recreation",327
2003,"Arts, entertainment and recreation",379
2004,"Arts, entertainment and recreation",390
2005,"Arts, entertainment and recreation",423
2006,"Arts, entertainment and recreation",410
2007,"Arts, entertainment and recreation",372
2008,"Arts, entertainment and recreation",379
2009,"Arts, entertainment and recreation",385
2010,"Arts, entertainment and recreation",404
2011,"Arts, entertainment and recreation",420
2012,"Arts, entertainment and recreation",449
2013,"Arts, entertainment and recreation",439
2014,"Arts, entertainment and recreation",435
2015,"Arts, entertainment and recreation",451
2016,"Arts, entertainment and recreation",433
2017,"Arts, entertainment and recreation",399
2018,"Arts, entertainment and recreation",422
2019,"Arts, entertainment and recreation",451
