Year,Income category,Sub-category,Unnamed: 4,Value
1994/95 - 1996/97,Relative low income,Before housing costs,,21
1995/96 - 1997/98,Relative low income,Before housing costs,,21
1996/97 - 1998/99,Relative low income,Before housing costs,,23
1997/98 - 1999/00,Relative low income,Before housing costs,,22
1998/99 - 2000/01,Relative low income,Before housing costs,,22
1999/00 - 2001/02,Relative low income,Before housing costs,,21
2000/01 - 2002/03,Relative low income,Before housing costs,,20
2001/02 - 2003/04,Relative low income,Before housing costs,,20
2002/03 - 2004/05,Relative low income,Before housing costs,,19
2003/04 - 2005/06,Relative low income,Before housing costs,,19
2004/05 - 2006/07,Relative low income,Before housing costs,,20
2005/06 - 2007/08,Relative low income,Before housing costs,,21
2006/07 - 2008/09,Relative low income,Before housing costs,,20
2007/08 - 2009/10,Relative low income,Before housing costs,,19
2008/09 - 2010/11,Relative low income,Before housing costs,,18
2009/10 - 2011/12,Relative low income,Before housing costs,,18
2010/11 - 2012/13,Relative low income,Before housing costs,,17
2011/12 - 2013/14,Relative low income,Before housing costs,,17
2012/13 - 2014/15,Relative low income,Before housing costs,,18
2013/14 - 2015/16,Relative low income,Before housing costs,,18
2014/15 - 2016/17,Relative low income,Before housing costs,,19
2015/16 - 2017/18,Relative low income,Before housing costs,,19
2016/17-2018/19,Relative low income,Before housing costs,,19
2017/18-2019/20,Relative low income,Before housing costs,,19
1994/95 - 1996/97,Relative low income,After housing costs,,26
1995/96 - 1997/98,Relative low income,After housing costs,,26
1996/97 - 1998/99,Relative low income,After housing costs,,27
1997/98 - 1999/00,Relative low income,After housing costs,,27
1998/99 - 2000/01,Relative low income,After housing costs,,26
1999/00 - 2001/02,Relative low income,After housing costs,,25
2000/01 - 2002/03,Relative low income,After housing costs,,24
2001/02 - 2003/04,Relative low income,After housing costs,,23
2002/03 - 2004/05,Relative low income,After housing costs,,22
2003/04 - 2005/06,Relative low income,After housing costs,,22
2004/05 - 2006/07,Relative low income,After housing costs,,23
2005/06 - 2007/08,Relative low income,After housing costs,,24
2006/07 - 2008/09,Relative low income,After housing costs,,24
2007/08 - 2009/10,Relative low income,After housing costs,,23
2008/09 - 2010/11,Relative low income,After housing costs,,23
2009/10 - 2011/12,Relative low income,After housing costs,,23
2010/11 - 2012/13,Relative low income,After housing costs,,22
2011/12 - 2013/14,Relative low income,After housing costs,,22
2012/13 - 2014/15,Relative low income,After housing costs,,22
2013/14 - 2015/16,Relative low income,After housing costs,,22
2014/15 - 2016/17,Relative low income,After housing costs,,23
2015/16 - 2017/18,Relative low income,After housing costs,,23
2016/17-2018/19,Relative low income,After housing costs,,22
2017/18-2019/20,Relative low income,After housing costs,,22
1994/95 - 1996/97,Absolute low income,Before housing costs,,39
1995/96 - 1997/98,Absolute low income,Before housing costs,,37
1996/97 - 1998/99,Absolute low income,Before housing costs,,36
1997/98 - 1999/00,Absolute low income,Before housing costs,,34
1998/99 - 2000/01,Absolute low income,Before housing costs,,32
1999/00 - 2001/02,Absolute low income,Before housing costs,,29
2000/01 - 2002/03,Absolute low income,Before housing costs,,26
2001/02 - 2003/04,Absolute low income,Before housing costs,,23
2002/03 - 2004/05,Absolute low income,Before housing costs,,21
2003/04 - 2005/06,Absolute low income,Before housing costs,,21
2004/05 - 2006/07,Absolute low income,Before housing costs,,21
2005/06 - 2007/08,Absolute low income,Before housing costs,,21
2006/07 - 2008/09,Absolute low income,Before housing costs,,20
2007/08 - 2009/10,Absolute low income,Before housing costs,,19
2008/09 - 2010/11,Absolute low income,Before housing costs,,17
2009/10 - 2011/12,Absolute low income,Before housing costs,,18
2010/11 - 2012/13,Absolute low income,Before housing costs,,18
2011/12 - 2013/14,Absolute low income,Before housing costs,,18
2012/13 - 2014/15,Absolute low income,Before housing costs,,18
2013/14 - 2015/16,Absolute low income,Before housing costs,,17
2014/15 - 2016/17,Absolute low income,Before housing costs,,17
2015/16 - 2017/18,Absolute low income,Before housing costs,,16
2016/17-2018/19,Absolute low income,Before housing costs,,17
2017/18-2019/20,Absolute low income,Before housing costs,,16
1994/95 - 1996/97,Absolute low income,After housing costs,,42
1995/96 - 1997/98,Absolute low income,After housing costs,,40
1996/97 - 1998/99,Absolute low income,After housing costs,,38
1997/98 - 1999/00,Absolute low income,After housing costs,,36
1998/99 - 2000/01,Absolute low income,After housing costs,,34
1999/00 - 2001/02,Absolute low income,After housing costs,,31
2000/01 - 2002/03,Absolute low income,After housing costs,,28
2001/02 - 2003/04,Absolute low income,After housing costs,,26
2002/03 - 2004/05,Absolute low income,After housing costs,,23
2003/04 - 2005/06,Absolute low income,After housing costs,,23
2004/05 - 2006/07,Absolute low income,After housing costs,,23
2005/06 - 2007/08,Absolute low income,After housing costs,,24
2006/07 - 2008/09,Absolute low income,After housing costs,,23
2007/08 - 2009/10,Absolute low income,After housing costs,,23
2008/09 - 2010/11,Absolute low income,After housing costs,,22
2009/10 - 2011/12,Absolute low income,After housing costs,,23
2010/11 - 2012/13,Absolute low income,After housing costs,,23
2011/12 - 2013/14,Absolute low income,After housing costs,,22
2012/13 - 2014/15,Absolute low income,After housing costs,,22
2013/14 - 2015/16,Absolute low income,After housing costs,,21
2014/15 - 2016/17,Absolute low income,After housing costs,,20
2015/16 - 2017/18,Absolute low income,After housing costs,,16
2016/17-2018/19,Absolute low income,After housing costs,,17
2017/18-2019/20,Absolute low income,After housing costs,,16
