Year,Production/Services,Industry Sector,Industry Sub Category,Value
1998,Production sector,"Agriculture, mining, electricity, gas, water and waste",,2.036021926
1999,Production sector,"Agriculture, mining, electricity, gas, water and waste",,2.014141847
2000,Production sector,"Agriculture, mining, electricity, gas, water and waste",,2.002074689
2001,Production sector,"Agriculture, mining, electricity, gas, water and waste",,1.930348259
2002,Production sector,"Agriculture, mining, electricity, gas, water and waste",,1.893580761
2003,Production sector,"Agriculture, mining, electricity, gas, water and waste",,1.873680507
2004,Production sector,"Agriculture, mining, electricity, gas, water and waste",,1.945592287
2005,Production sector,"Agriculture, mining, electricity, gas, water and waste",,1.769468325
2006,Production sector,"Agriculture, mining, electricity, gas, water and waste",,1.800109572
2007,Production sector,"Agriculture, mining, electricity, gas, water and waste",,1.779531363
2008,Production sector,"Agriculture, mining, electricity, gas, water and waste",,1.57051535
2009,Production sector,"Agriculture, mining, electricity, gas, water and waste",,1.554922639
2010,Production sector,"Agriculture, mining, electricity, gas, water and waste",,1.679880681
2011,Production sector,"Agriculture, mining, electricity, gas, water and waste",,1.727982163
2012,Production sector,"Agriculture, mining, electricity, gas, water and waste",,1.563271351
2013,Production sector,"Agriculture, mining, electricity, gas, water and waste",,1.38716869
2014,Production sector,"Agriculture, mining, electricity, gas, water and waste",,1.298284982
2015,Production sector,"Agriculture, mining, electricity, gas, water and waste",,1.084990958
2016,Production sector,"Agriculture, mining, electricity, gas, water and waste",,1.25476493
2017,Production sector,"Agriculture, mining, electricity, gas, water and waste",,1.301793936
2018,Production sector,"Agriculture, mining, electricity, gas, water and waste",,1.392326733
1998,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",2.371629936
1999,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",2.024855367
2000,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",2.126556017
2001,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",2.07960199
2002,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.94092028
2003,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.671358198
2004,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.480716253
2005,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.502378766
2006,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.471393911
2007,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.497705129
2008,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.278509983
2009,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.362481718
2010,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.326634744
2011,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.274088231
2012,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.316439032
2013,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.048633474
2014,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.121974675
2015,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.045679692
2016,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",0.889453621
2017,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.150976345
2018,Production sector,Manufacturing,"Manufacture of food, beverages, textiles and clothing",1.276299505
1998,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",6.01857031
1999,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",5.453181916
2000,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",5.96473029
2001,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",6.31840796
2002,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",6.476046203
2003,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",10.39760732
2004,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",9.443870523
2005,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",10.23286871
2006,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",11.79463098
2007,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",9.920283437
2008,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",10.72527819
2009,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",12.33931183
2010,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",11.36666928
2011,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",10.11307533
2012,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",7.010037848
2013,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",6.052349104
2014,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",5.313351499
2015,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",5.928139005
2016,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",6.369123253
2017,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",5.421495475
2018,Production sector,Manufacturing,"Manufacture of wood, petroleum, chemicals and minerals",5.159344059
1998,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",3.367267032
1999,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",3.835440326
2000,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",3.692946058
2001,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",3.432835821
2002,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",3.219087294
2003,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.955665025
2004,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.866735537
2005,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.704281779
2006,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.786256555
2007,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.794105806
2008,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.54912793
2009,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.186128858
2010,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.205824633
2011,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.309284918
2012,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.270857331
2013,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.022954339
2014,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.027568521
2015,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.091359384
2016,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.104510801
2017,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.53214796
2018,Production sector,Manufacturing,"Manufacture of metals, electrical products and machinery",2.459777228
1998,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.425103479
1999,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.417827298
2000,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.414937759
2001,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.368159204
2002,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.312440826
2003,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.272695285
2004,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.266873278
2005,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.225356815
2006,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.203490647
2007,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.193252275
2008,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.189408886
2009,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.200138557
2010,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.188397833
2011,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.175187132
2012,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.131643903
2013,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.173396086
2014,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.176310306
2015,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.172969573
2016,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.214421855
2017,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.238133037
2018,Production sector,Manufacturing,"Other manufacturing, repair and installation",0.239789604
1998,Production sector,Manufacturing,,12.61886117
1999,Production sector,Manufacturing,,12.17055925
2000,Production sector,Manufacturing,,12.64522822
2001,Production sector,Manufacturing,,12.62686567
2002,Production sector,Manufacturing,,12.33667866
2003,Production sector,Manufacturing,,15.39408867
2004,Production sector,Manufacturing,,14.15289256
2005,Production sector,Manufacturing,,14.70661881
