Year,Value,Units
2000,0.08976,Rate per 100 population
2001,0.55977,Rate per 100 population
2002,2.28648,Rate per 100 population
2003,5.22772,Rate per 100 population
2004,10.2282,Rate per 100 population
2005,16.41896,Rate per 100 population
2006,21.39545,Rate per 100 population
2007,25.39412,Rate per 100 population
2008,27.85421,Rate per 100 population
2009,28.45395,Rate per 100 population
2010,30.17896,Rate per 100 population
2011,32.15914,Rate per 100 population
2012,33.608,Rate per 100 population
2013,35.45457,Rate per 100 population
2014,36.27132,Rate per 100 population
2015,37.4477,Rate per 100 population
2016,38.42294,Rate per 100 population
2017,39.02955,Rate per 100 population
2018,39.59703,Rate per 100 population
2019,39.66666,Rate per 100 population
2020,40.3,Rate per 100 population
