Year,Value,Units
2019/20,0.6,Rate of fatal injuries
2018/19,0.3,Rate of fatal injuries
2017/18,0.61,Rate of fatal injuries
2016/17,0.0,Rate of fatal injuries
2015/16,0.34,Rate of fatal injuries
2014/15,0.74,Rate of fatal injuries
2019/20,212.0,Rate of reported non-fatal injuries
2018/19,222.0,Rate of reported non-fatal injuries
2017/18,224.0,Rate of reported non-fatal injuries
2016/17,233.0,Rate of reported non-fatal injuries
2015/16,252.0,Rate of reported non-fatal injuries
2014/15,310.0,Rate of reported non-fatal injuries
